tool,canonical_groups,tp,fn,fp,kept_urls,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
udud,85890,85794,96,29970,115764,0.7411,0.9989,0.8509,0.9168,0.9994,0.9165
uro,85890,64662,21228,0,64662,1.0000,0.7528,0.8590,0.7500,0.7428,0.7463
urldedupe,85890,85890,0,294760,380650,0.2256,1.0000,0.3682,0.7502,1.0000,0.7781
urless,85890,64133,21757,0,64133,1.0000,0.7467,0.8550,0.8333,0.7476,0.7489
uddup,DNF,,,,,,,,,,
