dataset,lines,bytes,tool,trial,wall_s,cpu_s,peak_rss_kb,out_lines,exit,status,sha256
D_example_wb.25000,25000,7017292,urless,3,1.182,1.181,30780,633,0,OK,2812cbf39b76f56faceddea45629b1e66ad7fd8641b689cf17665050b130caeb
D_example_wb.25000,25000,7017292,urless,4,1.180,1.180,30820,633,0,OK,2812cbf39b76f56faceddea45629b1e66ad7fd8641b689cf17665050b130caeb
D_example_wb.25000,25000,7017292,urless,5,1.203,1.203,30800,633,0,OK,2812cbf39b76f56faceddea45629b1e66ad7fd8641b689cf17665050b130caeb
D_example_wb.25000,25000,7017292,urless,6,1.254,1.254,30812,633,0,OK,2812cbf39b76f56faceddea45629b1e66ad7fd8641b689cf17665050b130caeb
D_example_wb.25000,25000,7017292,urless,7,1.213,1.213,30712,633,0,OK,2812cbf39b76f56faceddea45629b1e66ad7fd8641b689cf17665050b130caeb
D_example_wb.25000,25000,7017292,urless,8,1.506,1.506,30760,633,0,OK,2812cbf39b76f56faceddea45629b1e66ad7fd8641b689cf17665050b130caeb
D_example_wb.25000,25000,7017292,urless,9,1.208,1.207,30728,633,0,OK,2812cbf39b76f56faceddea45629b1e66ad7fd8641b689cf17665050b130caeb
D_example_wb.25000,25000,7017292,urless,10,1.281,1.280,30780,633,0,OK,2812cbf39b76f56faceddea45629b1e66ad7fd8641b689cf17665050b130caeb
D_example_wb.25000,25000,7017292,uddup,1,3.051,3.051,28060,20599,0,OK,686fe115fb0a5c92c04540d831f7f9600c510a9654ea67c7853627aebbacde98
D_example_wb.25000,25000,7017292,uddup,2,3.550,3.549,28008,20599,0,OK,686fe115fb0a5c92c04540d831f7f9600c510a9654ea67c7853627aebbacde98
D_example_wb.25000,25000,7017292,uddup,3,2.913,2.912,28088,20599,0,OK,686fe115fb0a5c92c04540d831f7f9600c510a9654ea67c7853627aebbacde98
D_example_wb.50000,50000,12983735,xcull,1,0.512,0.512,3372,763,0,OK,8dfe5c19b7bd6ee4db9e2810545b9d3207ee2039dd6bd4691c77fcf492b76c2b
D_example_wb.50000,50000,12983735,xcull,2,0.503,0.502,3404,763,0,OK,8dfe5c19b7bd6ee4db9e2810545b9d3207ee2039dd6bd4691c77fcf492b76c2b
D_example_wb.50000,50000,12983735,xcull,3,0.512,0.512,3564,763,0,OK,8dfe5c19b7bd6ee4db9e2810545b9d3207ee2039dd6bd4691c77fcf492b76c2b
D_example_wb.50000,50000,12983735,xcull,4,0.512,0.511,3564,763,0,OK,8dfe5c19b7bd6ee4db9e2810545b9d3207ee2039dd6bd4691c77fcf492b76c2b
D_example_wb.50000,50000,12983735,xcull,5,0.522,0.522,3452,763,0,OK,8dfe5c19b7bd6ee4db9e2810545b9d3207ee2039dd6bd4691c77fcf492b76c2b
D_example_wb.50000,50000,12983735,xcull,6,0.506,0.506,3344,763,0,OK,8dfe5c19b7bd6ee4db9e2810545b9d3207ee2039dd6bd4691c77fcf492b76c2b
D_example_wb.50000,50000,12983735,xcull,7,0.507,0.507,3460,763,0,OK,8dfe5c19b7bd6ee4db9e2810545b9d3207ee2039dd6bd4691c77fcf492b76c2b
